PRISM Time Series Data
Locations: 11
"Climate variables: tmin,tmean,tmax"
Spatial resolution: 4km
Period: 2025-03-01 - 2025-09-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2026-May-13
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (ft),Date,tmin (degrees F),tmean (degrees F),tmax (degrees F)
SDSU,-117.0726,32.7747,269,2025-06-09,59.8,65.9,72.1
SDSU,-117.0726,32.7747,269,2025-06-10,60.0,66.3,72.6
SDSU,-117.0726,32.7747,269,2025-06-11,60.2,67.4,74.6
SDSU,-117.0726,32.7747,269,2025-06-12,60.1,66.9,73.7
SDSU,-117.0726,32.7747,269,2025-06-13,59.3,64.3,69.4
SDSU,-117.0726,32.7747,269,2025-06-14,58.6,65.6,72.6
SDSU,-117.0726,32.7747,269,2025-06-15,59.8,69.4,79.0
SDSU,-117.0726,32.7747,269,2025-06-16,61.0,75.2,89.5
SDSU,-117.0726,32.7747,269,2025-06-17,60.8,71.0,81.3
SDSU,-117.0726,32.7747,269,2025-06-18,61.5,71.8,82.0
SDSU,-117.0726,32.7747,269,2025-06-19,61.0,69.2,77.5
SDSU,-117.0726,32.7747,269,2025-06-20,60.8,67.8,74.7
SDSU,-117.0726,32.7747,269,2025-06-21,60.2,66.3,72.4
SDSU,-117.0726,32.7747,269,2025-06-22,59.7,63.9,68.2
SDSU,-117.0726,32.7747,269,2025-06-23,60.1,67.1,74.2
SDSU,-117.0726,32.7747,269,2025-06-24,59.1,65.0,70.9
SDSU,-117.0726,32.7747,269,2025-06-25,59.1,66.1,73.1
SDSU,-117.0726,32.7747,269,2025-06-26,60.8,67.7,74.7
SDSU,-117.0726,32.7747,269,2025-06-27,59.6,67.3,75.0
SDSU,-117.0726,32.7747,269,2025-06-28,59.9,68.4,76.9
SDSU,-117.0726,32.7747,269,2025-06-29,60.9,71.9,82.8
SDSU,-117.0726,32.7747,269,2025-06-30,62.7,72.6,82.6
SDSU,-117.0726,32.7747,269,2025-07-01,63.2,72.5,81.7
SDSU,-117.0726,32.7747,269,2025-07-02,61.4,69.1,76.8
SDSU,-117.0726,32.7747,269,2025-07-03,61.2,68.1,75.0
SDSU,-117.0726,32.7747,269,2025-07-04,60.9,67.1,73.4
SDSU,-117.0726,32.7747,269,2025-07-05,62.3,71.5,80.7
SDSU,-117.0726,32.7747,269,2025-07-06,62.5,72.3,82.2
SDSU,-117.0726,32.7747,269,2025-07-07,62.0,70.0,78.0
SDSU,-117.0726,32.7747,269,2025-07-08,61.5,69.4,77.2
SDSU,-117.0726,32.7747,269,2025-07-09,61.9,71.9,81.8
SDSU,-117.0726,32.7747,269,2025-07-10,62.7,73.1,83.4
SDSU,-117.0726,32.7747,269,2025-07-11,62.4,71.4,80.3
SDSU,-117.0726,32.7747,269,2025-07-12,62.5,68.7,74.9
SDSU,-117.0726,32.7747,269,2025-07-13,62.7,69.3,76.0
SDSU,-117.0726,32.7747,269,2025-07-14,63.3,70.8,78.3
SDSU,-117.0726,32.7747,269,2025-07-15,64.2,70.5,76.9
SDSU,-117.0726,32.7747,269,2025-07-16,63.5,69.4,75.2
SDSU,-117.0726,32.7747,269,2025-07-17,62.6,69.6,76.7
SDSU,-117.0726,32.7747,269,2025-07-18,62.5,70.6,78.7
SDSU,-117.0726,32.7747,269,2025-07-19,65.2,70.9,76.5
SDSU,-117.0726,32.7747,269,2025-07-20,64.1,70.4,76.7
SDSU,-117.0726,32.7747,269,2025-07-21,63.5,68.9,74.3
SDSU,-117.0726,32.7747,269,2025-07-22,63.7,69.1,74.5
SDSU,-117.0726,32.7747,269,2025-07-23,65.4,70.7,76.0
SDSU,-117.0726,32.7747,269,2025-07-24,64.0,72.0,80.0
SDSU,-117.0726,32.7747,269,2025-07-25,64.1,71.3,78.5
SDSU,-117.0726,32.7747,269,2025-07-26,62.8,69.5,76.2
SDSU,-117.0726,32.7747,269,2025-07-27,62.8,69.3,75.8
SDSU,-117.0726,32.7747,269,2025-07-28,63.5,70.0,76.5
SDSU,-117.0726,32.7747,269,2025-07-29,62.4,69.4,76.4
SDSU,-117.0726,32.7747,269,2025-07-30,60.3,69.9,79.5
SDSU,-117.0726,32.7747,269,2025-07-31,60.9,71.3,81.8
SDSU,-117.0726,32.7747,269,2025-08-01,61.2,69.4,77.5
SDSU,-117.0726,32.7747,269,2025-08-02,61.4,69.7,78.0
SDSU,-117.0726,32.7747,269,2025-08-03,61.3,71.0,80.7
SDSU,-117.0726,32.7747,269,2025-08-04,62.0,71.5,81.0
SDSU,-117.0726,32.7747,269,2025-08-05,62.4,69.9,77.4
SDSU,-117.0726,32.7747,269,2025-08-06,62.3,71.3,80.2
SDSU,-117.0726,32.7747,269,2025-08-07,62.2,74.1,86.1
SDSU,-117.0726,32.7747,269,2025-08-08,64.0,77.7,91.5
SDSU,-117.0726,32.7747,269,2025-08-09,64.6,72.6,80.7
SDSU,-117.0726,32.7747,269,2025-08-10,65.0,72.3,79.6
SDSU,-117.0726,32.7747,269,2025-08-11,64.8,73.6,82.5
SDSU,-117.0726,32.7747,269,2025-08-12,63.2,70.2,77.3
SDSU,-117.0726,32.7747,269,2025-08-13,63.3,69.6,76.0
SDSU,-117.0726,32.7747,269,2025-08-14,63.7,69.2,74.8
SDSU,-117.0726,32.7747,269,2025-08-15,62.8,69.8,76.8
SDSU,-117.0726,32.7747,269,2025-08-16,62.8,67.3,71.7
SDSU,-117.0726,32.7747,269,2025-08-17,62.9,69.0,75.1
SDSU,-117.0726,32.7747,269,2025-08-18,62.7,70.7,78.7
SDSU,-117.0726,32.7747,269,2025-08-19,61.9,71.2,80.4
SDSU,-117.0726,32.7747,269,2025-08-20,62.2,73.1,84.1
SDSU,-117.0726,32.7747,269,2025-08-21,63.0,75.0,87.1
SDSU,-117.0726,32.7747,269,2025-08-22,65.1,75.8,86.5
SDSU,-117.0726,32.7747,269,2025-08-23,67.1,76.4,85.8
SDSU,-117.0726,32.7747,269,2025-08-24,67.3,80.6,94.0
SDSU,-117.0726,32.7747,269,2025-08-25,66.4,75.7,85.1
SDSU,-117.0726,32.7747,269,2025-08-26,65.9,73.9,81.9
SDSU,-117.0726,32.7747,269,2025-08-27,64.8,73.2,81.6
SDSU,-117.0726,32.7747,269,2025-08-28,64.7,76.2,87.8
SDSU,-117.0726,32.7747,269,2025-08-29,66.8,73.4,80.0
SDSU,-117.0726,32.7747,269,2025-08-30,66.5,79.0,91.6
SDSU,-117.0726,32.7747,269,2025-08-31,65.7,77.7,89.8
SDSU,-117.0726,32.7747,269,2025-09-01,65.5,77.3,89.2

CSUSM,-117.1570,33.1292,794,2025-03-01,51.0,62.5,74.0
CSUSM,-117.1570,33.1292,794,2025-03-02,50.8,56.0,61.3
CSUSM,-117.1570,33.1292,794,2025-03-03,49.0,54.7,60.4
CSUSM,-117.1570,33.1292,794,2025-03-04,43.3,50.9,58.4
CSUSM,-117.1570,33.1292,794,2025-03-05,43.6,54.7,65.7
CSUSM,-117.1570,33.1292,794,2025-03-06,45.7,55.3,64.9
CSUSM,-117.1570,33.1292,794,2025-03-07,41.7,48.6,55.6
CSUSM,-117.1570,33.1292,794,2025-03-08,40.3,49.2,58.2
CSUSM,-117.1570,33.1292,794,2025-03-09,40.7,53.2,65.6
CSUSM,-117.1570,33.1292,794,2025-03-10,43.1,57.6,72.1
CSUSM,-117.1570,33.1292,794,2025-03-11,43.4,58.0,72.6
CSUSM,-117.1570,33.1292,794,2025-03-12,48.7,53.4,58.1
CSUSM,-117.1570,33.1292,794,2025-03-13,51.9,56.4,60.9
CSUSM,-117.1570,33.1292,794,2025-03-14,45.0,49.9,54.8
CSUSM,-117.1570,33.1292,794,2025-03-15,43.6,48.4,53.2
CSUSM,-117.1570,33.1292,794,2025-03-16,44.1,52.9,61.8
CSUSM,-117.1570,33.1292,794,2025-03-17,43.6,55.6,67.7
CSUSM,-117.1570,33.1292,794,2025-03-18,46.9,55.0,63.1
CSUSM,-117.1570,33.1292,794,2025-03-19,44.8,53.9,63.1
CSUSM,-117.1570,33.1292,794,2025-03-20,45.9,60.9,75.9
CSUSM,-117.1570,33.1292,794,2025-03-21,46.8,59.3,71.8
CSUSM,-117.1570,33.1292,794,2025-03-22,46.1,59.8,73.5
CSUSM,-117.1570,33.1292,794,2025-03-23,46.9,59.5,72.1
CSUSM,-117.1570,33.1292,794,2025-03-24,49.6,59.5,69.4
CSUSM,-117.1570,33.1292,794,2025-03-25,51.2,65.3,79.5
CSUSM,-117.1570,33.1292,794,2025-03-26,52.2,61.8,71.4
CSUSM,-117.1570,33.1292,794,2025-03-27,52.7,55.8,58.9
CSUSM,-117.1570,33.1292,794,2025-03-28,53.2,59.2,65.2
CSUSM,-117.1570,33.1292,794,2025-03-29,51.7,57.1,62.4
CSUSM,-117.1570,33.1292,794,2025-03-30,49.9,57.1,64.3
CSUSM,-117.1570,33.1292,794,2025-03-31,50.0,56.5,63.0
CSUSM,-117.1570,33.1292,794,2025-04-01,49.7,55.6,61.4
CSUSM,-117.1570,33.1292,794,2025-04-02,49.1,54.1,59.1
CSUSM,-117.1570,33.1292,794,2025-04-03,46.4,52.3,58.2
CSUSM,-117.1570,33.1292,794,2025-04-04,43.0,51.7,60.4
CSUSM,-117.1570,33.1292,794,2025-04-05,43.1,53.9,64.7
CSUSM,-117.1570,33.1292,794,2025-04-06,46.1,60.5,74.8
CSUSM,-117.1570,33.1292,794,2025-04-07,49.5,63.6,77.7
CSUSM,-117.1570,33.1292,794,2025-04-08,48.9,62.3,75.7
CSUSM,-117.1570,33.1292,794,2025-04-09,50.2,62.8,75.3
CSUSM,-117.1570,33.1292,794,2025-04-10,53.1,66.5,79.9
CSUSM,-117.1570,33.1292,794,2025-04-11,53.8,66.2,78.6
CSUSM,-117.1570,33.1292,794,2025-04-12,52.1,67.6,83.1
CSUSM,-117.1570,33.1292,794,2025-04-13,52.0,63.3,74.6
CSUSM,-117.1570,33.1292,794,2025-04-14,53.2,61.5,69.8
CSUSM,-117.1570,33.1292,794,2025-04-15,50.7,58.5,66.3
CSUSM,-117.1570,33.1292,794,2025-04-16,50.6,55.5,60.4
CSUSM,-117.1570,33.1292,794,2025-04-17,52.1,57.9,63.6
CSUSM,-117.1570,33.1292,794,2025-04-18,52.3,57.6,62.8
CSUSM,-117.1570,33.1292,794,2025-04-19,46.8,53.2,59.5
CSUSM,-117.1570,33.1292,794,2025-04-20,45.3,57.3,69.3
CSUSM,-117.1570,33.1292,794,2025-04-21,47.8,59.0,70.1
CSUSM,-117.1570,33.1292,794,2025-04-22,48.5,58.3,68.0
CSUSM,-117.1570,33.1292,794,2025-04-23,52.3,58.6,65.0
CSUSM,-117.1570,33.1292,794,2025-04-24,53.8,59.4,65.1
CSUSM,-117.1570,33.1292,794,2025-04-25,53.3,59.9,66.5
CSUSM,-117.1570,33.1292,794,2025-04-26,49.3,54.7,60.0
CSUSM,-117.1570,33.1292,794,2025-04-27,48.4,54.5,60.7
CSUSM,-117.1570,33.1292,794,2025-04-28,48.5,55.1,61.7
CSUSM,-117.1570,33.1292,794,2025-04-29,48.8,56.5,64.1
CSUSM,-117.1570,33.1292,794,2025-04-30,48.6,58.9,69.1
CSUSM,-117.1570,33.1292,794,2025-05-01,54.5,62.0,69.5
CSUSM,-117.1570,33.1292,794,2025-05-02,55.1,61.2,67.4
CSUSM,-117.1570,33.1292,794,2025-05-03,55.6,61.3,67.1
CSUSM,-117.1570,33.1292,794,2025-05-04,51.9,57.1,62.4
CSUSM,-117.1570,33.1292,794,2025-05-05,50.4,54.3,58.2
CSUSM,-117.1570,33.1292,794,2025-05-06,52.1,55.7,59.3
CSUSM,-117.1570,33.1292,794,2025-05-07,53.7,57.5,61.3
CSUSM,-117.1570,33.1292,794,2025-05-08,53.8,62.0,70.2
CSUSM,-117.1570,33.1292,794,2025-05-09,53.6,64.0,74.3
CSUSM,-117.1570,33.1292,794,2025-05-10,56.9,71.9,86.8
CSUSM,-117.1570,33.1292,794,2025-05-11,63.1,77.1,91.1
CSUSM,-117.1570,33.1292,794,2025-05-12,57.9,72.4,86.8
CSUSM,-117.1570,33.1292,794,2025-05-13,54.6,63.3,72.0
CSUSM,-117.1570,33.1292,794,2025-05-14,52.9,58.3,63.8
CSUSM,-117.1570,33.1292,794,2025-05-15,52.2,59.9,67.6
CSUSM,-117.1570,33.1292,794,2025-05-16,53.1,61.5,69.9
CSUSM,-117.1570,33.1292,794,2025-05-17,54.9,62.1,69.2
CSUSM,-117.1570,33.1292,794,2025-05-18,54.7,58.8,63.0
CSUSM,-117.1570,33.1292,794,2025-05-19,52.5,59.1,65.6
CSUSM,-117.1570,33.1292,794,2025-05-20,51.8,64.4,77.0
CSUSM,-117.1570,33.1292,794,2025-05-21,58.3,70.9,83.4
CSUSM,-117.1570,33.1292,794,2025-05-22,55.9,69.4,82.9
CSUSM,-117.1570,33.1292,794,2025-05-23,54.3,65.9,77.5
CSUSM,-117.1570,33.1292,794,2025-05-24,56.8,64.7,72.5
CSUSM,-117.1570,33.1292,794,2025-05-25,55.4,61.8,68.3
CSUSM,-117.1570,33.1292,794,2025-05-26,56.4,62.8,69.2
CSUSM,-117.1570,33.1292,794,2025-05-27,58.0,64.9,71.8
CSUSM,-117.1570,33.1292,794,2025-05-28,57.9,65.1,72.4
CSUSM,-117.1570,33.1292,794,2025-05-29,57.5,62.9,68.2
CSUSM,-117.1570,33.1292,794,2025-05-30,57.9,65.3,72.6
CSUSM,-117.1570,33.1292,794,2025-05-31,59.7,74.5,89.3
CSUSM,-117.1570,33.1292,794,2025-06-01,61.1,72.8,84.6
CSUSM,-117.1570,33.1292,794,2025-06-02,60.6,70.4,80.1
CSUSM,-117.1570,33.1292,794,2025-06-03,59.2,67.5,75.7
CSUSM,-117.1570,33.1292,794,2025-06-04,58.3,65.6,72.9
CSUSM,-117.1570,33.1292,794,2025-06-05,57.9,61.1,64.3
CSUSM,-117.1570,33.1292,794,2025-06-06,58.5,62.9,67.2
CSUSM,-117.1570,33.1292,794,2025-06-07,59.6,63.0,66.4
CSUSM,-117.1570,33.1292,794,2025-06-08,58.8,64.0,69.1
CSUSM,-117.1570,33.1292,794,2025-06-09,58.8,65.7,72.7
CSUSM,-117.1570,33.1292,794,2025-06-10,57.6,65.0,72.5
CSUSM,-117.1570,33.1292,794,2025-06-11,58.0,67.1,76.2
CSUSM,-117.1570,33.1292,794,2025-06-12,59.9,66.9,74.0
CSUSM,-117.1570,33.1292,794,2025-06-13,58.0,65.7,73.3
CSUSM,-117.1570,33.1292,794,2025-06-14,57.5,65.8,74.2
CSUSM,-117.1570,33.1292,794,2025-06-15,58.3,68.8,79.3
CSUSM,-117.1570,33.1292,794,2025-06-16,59.5,75.7,91.9
CSUSM,-117.1570,33.1292,794,2025-06-17,59.2,71.2,83.2
CSUSM,-117.1570,33.1292,794,2025-06-18,59.4,71.6,83.8
CSUSM,-117.1570,33.1292,794,2025-06-19,59.4,70.3,81.3
CSUSM,-117.1570,33.1292,794,2025-06-20,59.4,68.1,76.8
CSUSM,-117.1570,33.1292,794,2025-06-21,59.8,67.1,74.5
CSUSM,-117.1570,33.1292,794,2025-06-22,56.9,64.0,71.1
CSUSM,-117.1570,33.1292,794,2025-06-23,56.0,65.0,74.0
CSUSM,-117.1570,33.1292,794,2025-06-24,57.1,64.5,71.9
CSUSM,-117.1570,33.1292,794,2025-06-25,57.3,65.2,73.1
CSUSM,-117.1570,33.1292,794,2025-06-26,59.7,68.4,77.1
CSUSM,-117.1570,33.1292,794,2025-06-27,57.7,68.1,78.4
CSUSM,-117.1570,33.1292,794,2025-06-28,57.9,68.1,78.3
CSUSM,-117.1570,33.1292,794,2025-06-29,58.3,72.1,85.9
CSUSM,-117.1570,33.1292,794,2025-06-30,61.5,71.8,82.0
CSUSM,-117.1570,33.1292,794,2025-07-01,60.2,70.5,80.7
CSUSM,-117.1570,33.1292,794,2025-07-02,59.8,67.7,75.6
CSUSM,-117.1570,33.1292,794,2025-07-03,58.8,66.2,73.6
CSUSM,-117.1570,33.1292,794,2025-07-04,59.0,66.9,74.8
CSUSM,-117.1570,33.1292,794,2025-07-05,57.9,69.1,80.3
CSUSM,-117.1570,33.1292,794,2025-07-06,57.8,70.5,83.2
CSUSM,-117.1570,33.1292,794,2025-07-07,58.6,68.3,78.0
CSUSM,-117.1570,33.1292,794,2025-07-08,58.9,68.3,77.7
CSUSM,-117.1570,33.1292,794,2025-07-09,59.3,69.6,79.8
CSUSM,-117.1570,33.1292,794,2025-07-10,61.2,72.0,82.7
CSUSM,-117.1570,33.1292,794,2025-07-11,60.6,72.5,84.4
CSUSM,-117.1570,33.1292,794,2025-07-12,60.4,68.9,77.5
CSUSM,-117.1570,33.1292,794,2025-07-13,60.5,69.1,77.7
CSUSM,-117.1570,33.1292,794,2025-07-14,61.7,69.3,77.0
CSUSM,-117.1570,33.1292,794,2025-07-15,61.8,68.9,75.9
CSUSM,-117.1570,33.1292,794,2025-07-16,61.6,69.1,76.7
CSUSM,-117.1570,33.1292,794,2025-07-17,60.3,68.4,76.5
CSUSM,-117.1570,33.1292,794,2025-07-18,60.4,69.2,78.0
CSUSM,-117.1570,33.1292,794,2025-07-19,63.2,68.7,74.2
CSUSM,-117.1570,33.1292,794,2025-07-20,62.3,69.2,76.0
CSUSM,-117.1570,33.1292,794,2025-07-21,62.7,68.6,74.6
CSUSM,-117.1570,33.1292,794,2025-07-22,63.0,68.5,74.0
CSUSM,-117.1570,33.1292,794,2025-07-23,64.0,68.5,73.1
CSUSM,-117.1570,33.1292,794,2025-07-24,61.5,70.1,78.6
CSUSM,-117.1570,33.1292,794,2025-07-25,60.4,68.4,76.5
CSUSM,-117.1570,33.1292,794,2025-07-26,59.8,68.3,76.9
CSUSM,-117.1570,33.1292,794,2025-07-27,58.6,66.5,74.4
CSUSM,-117.1570,33.1292,794,2025-07-28,59.6,67.4,75.2
CSUSM,-117.1570,33.1292,794,2025-07-29,60.3,67.8,75.4
CSUSM,-117.1570,33.1292,794,2025-07-30,58.9,69.5,80.0
CSUSM,-117.1570,33.1292,794,2025-07-31,59.5,69.7,79.9
CSUSM,-117.1570,33.1292,794,2025-08-01,59.2,69.6,80.0
CSUSM,-117.1570,33.1292,794,2025-08-02,60.5,70.0,79.6
CSUSM,-117.1570,33.1292,794,2025-08-03,59.4,70.2,80.9
CSUSM,-117.1570,33.1292,794,2025-08-04,59.6,70.1,80.7
CSUSM,-117.1570,33.1292,794,2025-08-05,59.4,70.0,80.6
CSUSM,-117.1570,33.1292,794,2025-08-06,59.7,71.4,83.2
CSUSM,-117.1570,33.1292,794,2025-08-07,62.8,75.3,87.8
CSUSM,-117.1570,33.1292,794,2025-08-08,65.1,78.2,91.3
CSUSM,-117.1570,33.1292,794,2025-08-09,63.0,73.9,84.7
CSUSM,-117.1570,33.1292,794,2025-08-10,62.9,71.7,80.4
CSUSM,-117.1570,33.1292,794,2025-08-11,63.6,74.1,84.6
CSUSM,-117.1570,33.1292,794,2025-08-12,62.1,71.7,81.3
CSUSM,-117.1570,33.1292,794,2025-08-13,61.9,70.2,78.4
CSUSM,-117.1570,33.1292,794,2025-08-14,63.3,70.4,77.4
CSUSM,-117.1570,33.1292,794,2025-08-15,63.4,70.6,77.9
CSUSM,-117.1570,33.1292,794,2025-08-16,63.2,69.4,75.7
CSUSM,-117.1570,33.1292,794,2025-08-17,61.6,68.1,74.7
CSUSM,-117.1570,33.1292,794,2025-08-18,61.8,69.7,77.7
CSUSM,-117.1570,33.1292,794,2025-08-19,61.1,71.7,82.3
CSUSM,-117.1570,33.1292,794,2025-08-20,60.8,71.8,82.8
CSUSM,-117.1570,33.1292,794,2025-08-21,63.1,74.4,85.7
CSUSM,-117.1570,33.1292,794,2025-08-22,67.8,78.3,88.7
CSUSM,-117.1570,33.1292,794,2025-08-23,67.2,78.2,89.3
